trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-101.39074008005228,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-130.78529563699715,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-94.03014185044808,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-80.90810286680933,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-154.80494987263586,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,18,-10.958038287277654,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-100.60158484734262,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-148.2623442464836,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-134.33815825950592,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-186.33875377187067,"{0: 19, 1: 5, 2: 2, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-80.19659835455863,"{0: 28, 1: 2, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-160.35114479973123,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-105.74433547127691,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-113.62530933063394,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-12.64300499943265,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-69.10915558065443,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,0,-198.039050896416,"{0: 20, 1: 7, 2: 3, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-148.3934911339335,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-81.42266083445249,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-41.645956343298685,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-28.6739759070685,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-84.87388663422729,"{0: 15, 1: 0, 2: 0, 3: 5, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-64.55778266166834,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-41.97448719560759,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-19.714982242913894,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-70.84095305874958,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-48.88262906518602,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-55.81844732813198,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-119.07820543312715,"{0: 20, 1: 4, 2: 2, 3: 3, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-121.49219838923497,"{0: 15, 1: 5, 2: 1, 3: 3, 4: 1}",0
