trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",30,0,-154.35592807285067,"{0: 15, 1: 8, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9603999999999999}",25,0,-234.24772088350196,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9411919999999999}",35,8,-138.68731838908593,"{0: 13, 1: 4, 2: 9, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.9223681599999999}",20,0,-74.65918274478526,"{0: 12, 1: 6, 2: 0, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9039207967999999}",20,0,-103.49732226004987,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.8858423808639999}",30,0,-212.92261583071144,"{0: 15, 1: 3, 2: 7, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.8681255332467199}",25,0,-185.47420178756136,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.8507630225817855}",20,0,-95.02120041153943,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.8337477621301498}",25,0,-248.09151776983674,"{0: 12, 1: 0, 2: 8, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.8170728068875467}",30,0,-105.02383499572181,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8007313507497958}",25,0,-101.44984365230387,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.7847167237347998}",20,0,-108.42793126872236,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.7690223892601039}",30,0,-69.06561540574646,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7536419414749017}",25,0,-97.77263719331212,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.7385691026454038}",25,0,-201.65018928452034,"{0: 9, 1: 4, 2: 9, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.7237977205924956}",20,0,-107.21748599738878,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.7093217661806457}",25,0,-127.60659315783612,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.6951353308570328}",20,0,-123.89966591716838,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.6812326242398921}",20,0,-97.24435844402115,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.6676079717550942}",35,0,-221.70650203743972,"{0: 21, 1: 6, 2: 2, 3: 2, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.6542558123199923}",30,0,-144.9128128261948,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.6411706960735924}",20,0,-43.785382174639665,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.6283472821521207}",20,0,-106.72380015815308,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.6157803365090782}",20,11,-13.67177070434322,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.6034647297788966}",20,0,-116.78065980148638,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.5913954351833187}",35,0,-263.7110392988591,"{0: 21, 1: 2, 2: 4, 3: 4, 4: 4}",0
27,False,"{'a': 0.5, 'e': 0.5795675264796523}",20,0,-141.23141361775973,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.5679761759500592}",20,0,-122.73902724348473,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.5566166524310581}",20,0,-69.91527505456665,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.5454843193824369}",25,0,-68.23809460082401,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.5345746329947881}",20,0,-93.94581292571871,"{0: 9, 1: 7, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.5238831403348924}",25,4,-43.7887792410625,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.5134054775281945}",25,0,-139.05074460392555,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.5031373679776306}",20,0,-70.96183330348967,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.493074620618078}",30,0,-87.59853740553574,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.48321312820571644}",25,0,-93.77105093848756,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.4735488656416021}",20,0,-5.100448583725244,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.46407788832877006}",20,0,-101.06432132644812,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.4547963305621946}",20,0,-149.60310322646427,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.44570040395095073}",20,0,-26.307152697677285,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.4367863958719317}",25,0,-57.60926870243397,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.42805066795449304}",25,0,-140.63511189686807,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.41948965459540316}",25,0,-95.2330704005331,"{0: 15, 1: 4, 2: 3, 3: 3, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.4110998615034951}",20,0,-17.580081425761247,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.4028778642734252}",20,0,-41.73667977686397,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.3948203069879567}",20,0,-157.8578420507509,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.38692390084819756}",25,0,-75.17084015974683,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.3791854228312336}",20,0,-18.93455849879311,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.3716017143746089}",20,0,-88.59722142049768,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.36416968008711675}",25,0,-58.22978575284833,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.3568862864853744}",20,0,-77.76773516137317,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.3497485607556669}",20,1,-37.62897841749196,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.34275358954055357}",20,0,-62.325451156620616,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.3358985177497425}",20,0,-18.82553577702708,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.3291805473947476}",30,0,-172.5943852358752,"{0: 21, 1: 0, 2: 4, 3: 2, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.32259693644685267}",30,0,-97.32369441799342,"{0: 21, 1: 6, 2: 1, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.3161449977179156}",25,0,-42.01574695190335,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.3098220977635573}",20,0,-30.200911546181626,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.30362565580828615}",30,0,-63.679663107267295,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.2975531426921204}",20,0,-67.889089712636,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.291602079838278}",30,0,-21.065652345707125,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.2857700382415124}",20,0,11.305604218916217,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.2800546374766822}",20,0,-18.5363268063115,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.2744535447271485}",20,0,-74.82405794836721,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.2689644738326056}",35,0,-33.75550518349033,"{0: 26, 1: 5, 2: 4, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.26358518435595346}",20,0,-21.956110131078407,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
