trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.85}",25,0,0.40067415744080237,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.7999999999999999}",20,0,-60.68951199744633,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.7499999999999999}",30,0,-28.21984355296366,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.6999999999999998}",25,0,-14.483091416590907,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.6499999999999998}",20,0,-18.685119013569416,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.5999999999999998}",25,0,-127.89358687768785,"{0: 17, 1: 1, 2: 2, 3: 4, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.5499999999999997}",20,0,-34.86131033603409,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.4999999999999997}",20,0,-43.02515166660033,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.8, 'e': 0.44999999999999973}",25,0,-35.567169407121504,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.39999999999999974}",20,0,-22.02859495202606,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.34999999999999976}",20,0,-185.4906170067121,"{0: 10, 1: 0, 2: 4, 3: 4, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.29999999999999977}",20,0,-71.73893267512753,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.24999999999999978}",25,0,-174.15450083005172,"{0: 13, 1: 3, 2: 3, 3: 5, 4: 1}",0
14,False,"{'a': 0.8, 'e': 0.1999999999999998}",20,0,-97.77978764688774,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.1499999999999998}",30,0,-222.80055099026902,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
16,False,"{'a': 0.8, 'e': 0.0999999999999998}",20,5,-40.06961562851188,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.049999999999999795}",20,2,-33.4792761829072,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.8, 'e': -2.0816681711721685e-16}",25,0,-102.86614584489203,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.8, 'e': -0.05000000000000021}",20,0,-196.38473064391764,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
20,False,"{'a': 0.8, 'e': -0.10000000000000021}",25,0,-107.62442535346423,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
1,True,"{'a': 0.8, 'e': -0.15000000000000022}",25,0,-156.96238893379302,"{0: 12, 1: 0, 2: 11, 3: 1, 4: 1}",0
2,True,"{'a': 0.8, 'e': -0.20000000000000023}",25,0,-162.42973329279144,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
3,True,"{'a': 0.8, 'e': -0.2500000000000002}",20,0,-144.39659644908497,"{0: 10, 1: 3, 2: 2, 3: 4, 4: 1}",0
4,True,"{'a': 0.8, 'e': -0.3000000000000002}",20,0,-183.89651561911572,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
5,True,"{'a': 0.8, 'e': -0.3500000000000002}",20,0,-98.1621243053408,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
6,True,"{'a': 0.8, 'e': -0.4000000000000002}",25,0,-186.48739718254453,"{0: 14, 1: 5, 2: 2, 3: 0, 4: 4}",0
7,True,"{'a': 0.8, 'e': -0.4500000000000002}",20,0,-138.82623324595912,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
8,True,"{'a': 0.8, 'e': -0.5000000000000002}",20,0,-94.86575807867204,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
9,True,"{'a': 0.8, 'e': -0.5500000000000003}",20,8,-105.92117422255586,"{0: 5, 1: 1, 2: 3, 3: 2, 4: 1}",1
10,True,"{'a': 0.8, 'e': -0.6000000000000003}",30,0,-182.37921555613764,"{0: 18, 1: 1, 2: 6, 3: 3, 4: 2}",0
11,True,"{'a': 0.8, 'e': -0.6500000000000004}",20,0,-172.55254539235517,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 4}",0
12,True,"{'a': 0.8, 'e': -0.7000000000000004}",25,0,-192.99450305943841,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
13,True,"{'a': 0.8, 'e': -0.7500000000000004}",25,0,-115.59400319917734,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
14,True,"{'a': 0.8, 'e': -0.8000000000000005}",25,0,-124.00715576096574,"{0: 15, 1: 4, 2: 2, 3: 3, 4: 1}",0
15,True,"{'a': 0.8, 'e': -0.8500000000000005}",20,0,-80.44672592947714,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
16,True,"{'a': 0.8, 'e': -0.9000000000000006}",20,0,-42.527288496000374,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
17,True,"{'a': 0.8, 'e': -0.9500000000000006}",20,5,-105.50302014563492,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 2}",1
18,True,"{'a': 0.8, 'e': -1.0000000000000007}",25,0,-259.11915205508274,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 5}",0
19,True,"{'a': 0.8, 'e': -1.0500000000000007}",20,0,-100.05487655461523,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
20,True,"{'a': 0.8, 'e': -1.1000000000000008}",20,0,-78.07507863531617,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
21,True,"{'a': 0.8, 'e': -1.1500000000000008}",20,9,-81.63825222556784,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 1}",1
22,True,"{'a': 0.8, 'e': -1.2000000000000008}",25,0,-122.42616350310644,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
23,True,"{'a': 0.8, 'e': -1.2500000000000009}",25,7,-159.58261370239242,"{0: 9, 1: 2, 2: 2, 3: 3, 4: 2}",1
24,True,"{'a': 0.8, 'e': -1.300000000000001}",25,0,-223.5977227086906,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",1
25,True,"{'a': 0.8, 'e': -1.350000000000001}",30,0,-216.1750520806142,"{0: 18, 1: 0, 2: 6, 3: 3, 4: 3}",0
26,True,"{'a': 0.8, 'e': -1.400000000000001}",20,0,-55.446863262173316,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
27,True,"{'a': 0.8, 'e': -1.450000000000001}",25,0,-102.90853404088983,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
